date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,p_a,p_b,confidence,tournament_speed_signal,tournament_speed_multiplier,tournament_speed_archetype_delta,tournament_speed_style_edge,score,has_pinnacle_odds
2026-01-04,Brisbane International,Hard,1st Round,ATP250,Alejandro Pascacio F.,Aleksandar Vukic,24232,28267,0.285966,0.278344,3.4969,1.52,2.7,Alejandro Pascacio F.,92.789,loser,loss,False,0.63981,Aleksandar Vukic,0.714034,0.162458,0.152403,0.754563,0.560244757787824,0.6363840818855823,low,,,,,6-2 6-2,
2026-01-04,Brisbane International,Hard,1st Round,ATP250,Learner Tien,Camilo Ugo Carabelli,93452,42229,0.794729,0.83045,1.2583,1.2,5.21,Learner Tien,6.946,loser,policy_skip,True,0.812793,Learner Tien,0.794729,0.829119,0.841661,0.643701,0.596851156869972,0.5247711378109081,high,,,,,7-6 6-3,
2026-01-05,Brisbane International,Hard,1st Round,ATP250,Quentin Halys,Alexei Popyrin,25171,34233,0.424778,0.427358,2.3542,2.49,1.6,Quentin Halys,5.77,winner,win,False,0.391198,Alexei Popyrin,0.575222,0.352525,0.502882,0.359456,0.6592310685171323,0.690166101843504,high,,,,,5-7 6-3 6-4,
2026-01-05,Brisbane International,Hard,1st Round,ATP250,Sebastian Korda,Valentin Vacherot,42451,36594,0.472962,0.485577,2.1143,1.54,2.64,Sebastian Korda,39.138,loser,policy_skip,True,0.631579,Valentin Vacherot,0.527038,0.236322,0.703681,0.409714,0.6097087997088229,0.6671167941239622,high,,,,,7-6 6-3,
2026-01-05,Brisbane International,Hard,1st Round,ATP250,Jiri Lehecka,Tomas Machac,61838,58327,0.560187,0.554484,1.7851,1.52,2.71,Jiri Lehecka,19.189,loser,loss,False,0.640662,Jiri Lehecka,0.560187,0.382669,0.559999,0.644519,0.6264069660151346,0.6499663748722141,high,,,,,6-4 6-7 6-2,
2026-01-05,Brisbane International,Hard,1st Round,ATP250,Kamil Majchrzak,Daniel Altmaier,28898,29732,0.652509,0.665508,1.5325,0.0,0.0,Kamil Majchrzak,-100.0,winner,skip,True,0.5,Kamil Majchrzak,0.652509,0.884985,0.707927,0.431783,0.6538828015534832,0.5597914021266714,high,,,,,7-6 6-0,
2026-01-05,Brisbane International,Hard,1st Round,ATP250,Daniil Medvedev,Marton Fucsovics,22807,13674,0.675856,0.693284,1.4796,1.28,4.03,Daniil Medvedev,30.63,loser,loss,False,0.758945,Daniil Medvedev,0.675856,0.399423,0.642931,0.821045,0.5539287760782052,0.5731402420801698,high,,,,,6-2 6-3,
2026-01-05,Brisbane International,Hard,1st Round,ATP250,Alex Michelsen,James Duckworth,92985,11517,0.551293,0.543737,1.8139,1.73,2.22,Alex Michelsen,-0.387,loser,skip,False,0.562025,Alex Michelsen,0.551293,0.339036,0.485189,0.704663,0.5790470841741919,0.610914705488804,high,,,,,6-7 7-6 6-3,
2026-01-05,Brisbane International,Hard,1st Round,ATP250,Reilly Opelka,Dane Sweeny,28087,56590,0.579658,0.577996,1.7252,1.6,2.49,Reilly Opelka,4.665,loser,skip,False,0.608802,Reilly Opelka,0.579658,0.11615,0.687726,0.77821,0.6070244509408524,0.7046460258993992,high,,,,,6-3 7-5,
2026-01-05,Hong Kong Tennis Open,Hard,1st Round,ATP250,Nuno Borges,Damir Dzumhur,31446,13447,0.539118,0.529023,1.8549,1.47,2.88,Nuno Borges,32.734,loser,policy_skip,True,0.662069,Nuno Borges,0.539118,0.422091,0.573534,0.583944,0.5383450953071185,0.5529813667054948,high,,,,,6-4 6-3,
2026-01-05,Hong Kong Tennis Open,Hard,1st Round,ATP250,Marin Cilic,Adrian Mannarino,6101,7806,0.603833,0.605498,1.6561,1.77,2.16,Marin Cilic,6.878,winner,win,False,0.549618,Marin Cilic,0.603833,0.388072,0.680321,0.490469,0.6173757116838238,0.6397022714640536,medium,,,,,6-3 6-2,
2026-01-05,Hong Kong Tennis Open,Hard,1st Round,ATP250,Yi Fan Wu,Fabian Marozsan,28592,52140,0.18,0.150168,5.5556,2.23,1.72,Yi Fan Wu,41.04,loser,policy_skip,True,0.435443,Fabian Marozsan,0.82,0.176968,0.125982,0.198532,0.550108544406648,0.6211687698910047,low,,,,,6-4 6-2,
2026-01-06,Brisbane International,Hard,1st Round,ATP250,Raphael Collignon,Denis Shapovalov,84235,33502,0.304298,0.293593,3.2863,2.03,1.86,Raphael Collignon,29.401,loser,policy_skip,True,0.478149,Denis Shapovalov,0.695702,0.182315,0.397063,0.204159,0.5481214187820268,0.6174666600382639,medium,,,,,6-4 6-2,
2026-01-06,Brisbane International,Hard,1st Round,ATP250,Grigor Dimitrov,Pablo Carreno-Busta,11953,14432,0.546365,0.537781,1.8303,1.51,2.74,Grigor Dimitrov,24.296,loser,loss,False,0.644706,Grigor Dimitrov,0.546365,0.311252,0.51846,0.662,0.580832766081583,0.618848883943836,high,,,,,6-3 6-2,
2026-01-06,Brisbane International,Hard,1st Round,ATP250,Rinky Hijikata,Adam Walton,58149,47752,0.568307,0.564292,1.7596,1.79,2.13,Rinky Hijikata,1.727,winner,skip,False,0.543367,Rinky Hijikata,0.568307,0.461104,0.613312,0.416414,0.562634784762637,0.5698932094654487,high,,,,,6-3 6-2,
2026-01-06,Brisbane International,Hard,1st Round,ATP250,Aleksandar Kovacevic,Nick Kyrgios,39152,22434,0.839119,0.860163,1.1917,1.6,2.47,Aleksandar Kovacevic,34.259,winner,policy_skip,True,0.60688,Aleksandar Kovacevic,0.839119,0.867628,0.299191,0.952707,0.6434109093068193,0.5565481214784126,medium,,,,,6-3 6-4,
