pick_id,published_at_utc,kickoff_utc,time_to_kickoff_hours,match_id,match_date,league,match,home_team,away_team,team,bookmaker,selection,line,side,model,model_fair_odds,model_implied_prob,raw_model_probability,market_fair_probability,model_market_gap,edge,matchday,team_neff,opponent_neff,model_mean,distribution_parameter,signal_status,book_price_at_publication,book_price_3h_pre_kickoff,book_price_1h_pre_kickoff,book_price_close,close_lag_minutes,true_close,published_to_close_clv,model_to_close_clv,book_movement_to_close,result,pnl_units,actual_team_shots,settled_at,current_model_would_have_priced,confidence_guard_applied,blocked_reason
team_shots_v4|2026-08-19|la-liga|ath madrid|malaga|ath madrid|16.5|under,2026-08-16T08:49:22Z,2026-08-19T19:00:00Z,82.177,2026-08-19|la-liga|ath madrid|malaga,2026-08-19,la-liga,Atletico Madrid vs Malaga CF,Atletico Madrid,Malaga CF,Atletico Madrid,Bet365,Atletico Madrid under 16.5,16.5,under,team_shots_v4,1.67184,0.598143,0.724953,0.567657,0.157296,0.032993,1,20,20,,0.04291123,warmup_tracking,1.727,1.727,1.727,1.727,61.683,true,0.0,0.032993,0.0,won,0.727,15,2026-09-01T14:17:11Z,true,false,
team_shots_v4|2026-08-22|la-liga|espanol|real madrid|real madrid|15.5|under,2026-08-21T09:10:09Z,2026-08-22T19:30:00Z,34.331,2026-08-22|la-liga|espanol|real madrid,2026-08-22,la-liga,Espanyol Barcelona vs Real Madrid,Espanyol Barcelona,Real Madrid,Real Madrid,Bet365,Real Madrid under 15.5,15.5,under,team_shots_v4,1.754665,0.569909,0.725505,0.532434,0.19307,0.044644,1,20,20,,0.02509242,warmup_tracking,1.833,1.833,1.833,1.833,27.133,true,0.0,0.044643,0.0,lost,-1.0,21,2026-09-01T14:27:14Z,true,false,
team_shots_v4|2026-08-23|serie-a|venezia|lecce|venezia|13.5|under,2026-08-20T09:08:06Z,2026-08-23T16:30:00Z,79.365,2026-08-23|serie-a|venezia|lecce,2026-08-23,serie-a,Venezia FC vs US Lecce,Venezia FC,US Lecce,Venezia FC,Bet365,Venezia FC under 13.5,13.5,under,team_shots_v4,1.728643,0.578488,0.76258,0.532434,0.230145,0.060369,1,20,20,,0.0294651,warmup_tracking,1.833,1.833,1.833,1.833,32.467,true,0.0,0.060369,0.0,lost,-1.0,19,2026-09-01T14:17:11Z,true,false,
team_shots_v4|2026-08-23|serie-a|torino|milan|milan|13.5|under,2026-08-21T09:10:08Z,2026-08-23T18:45:00Z,57.581,2026-08-23|serie-a|torino|milan,2026-08-23,serie-a,Torino FC vs AC Milan,Torino FC,AC Milan,AC Milan,Bet365,AC Milan under 13.5,13.5,under,team_shots_v4,1.826578,0.547472,0.696794,0.512402,0.184391,0.045124,1,20,20,,0.03494911,warmup_tracking,1.909,1.909,1.909,1.909,48.917,true,0.0,0.045124,0.0,lost,-1.0,19,2026-09-01T14:27:14Z,true,false,
team_shots_v4|2026-08-23|la-liga|elche|barcelona|barcelona|18.5|under,2026-08-20T15:57:51Z,2026-08-23T19:30:00Z,75.536,2026-08-23|la-liga|elche|barcelona,2026-08-23,la-liga,Elche CF vs FC Barcelona,Elche CF,FC Barcelona,FC Barcelona,Bet365,FC Barcelona under 18.5,18.5,under,team_shots_v4,1.632373,0.612605,0.850668,0.544123,0.306545,0.102689,1,20,20,,0.03012037,warmup_tracking,1.8,1.8,1.8,1.833,27.383,true,-0.018003,0.122905,0.033,won,0.8,11,2026-09-01T14:27:14Z,true,false,
team_shots_v4|2026-08-24|epl|fulham|chelsea|chelsea|12.5|under,2026-08-19T09:06:53Z,2026-08-24T19:00:00Z,129.885,2026-08-24|epl|fulham|chelsea,2026-08-24,epl,Fulham FC vs Chelsea FC,Fulham FC,Chelsea FC,Chelsea FC,Bet365,Chelsea FC under 12.5,12.5,under,team_shots_v4,1.834689,0.545052,0.685211,0.512402,0.172809,0.040503,1,20,20,,0.04429877,warmup_tracking,1.909,1.909,1.909,1.909,5942.183,false,0.0,0.040504,0.0,lost,-1.0,18,2026-09-01T14:27:14Z,true,false,
team_shots_v4|2026-08-26|la-liga|real madrid|sociedad|real madrid|20.5|under,2026-08-24T09:45:17Z,2026-08-26T19:00:00Z,57.245,2026-08-26|la-liga|real madrid|sociedad,2026-08-26,la-liga,Real Madrid vs Real Sociedad San Sebastian,Real Madrid,Real Sociedad San Sebastian,Real Madrid,Bet365,Real Madrid under 20.5,20.5,under,team_shots_v4,1.672604,0.59787,0.801739,0.544123,0.257616,0.076166,2,20,20,,0.02509242,warmup_tracking,1.8,1.8,1.8,1.8,3434.717,false,0.0,0.076166,0.0,won,0.8,20,2026-09-01T14:17:11Z,true,false,
team_shots_v4|2026-08-27|la-liga|celta|osasuna|celta|13.5|under,2026-08-26T09:42:48Z,2026-08-27T18:30:00Z,32.787,2026-08-27|la-liga|celta|osasuna,2026-08-27,la-liga,RC Celta de Vigo vs CA Osasuna,RC Celta de Vigo,CA Osasuna,RC Celta de Vigo,Bet365,RC Celta de Vigo under 13.5,13.5,under,team_shots_v4,1.839637,0.543585,0.678085,0.512402,0.165683,0.037705,2,20,20,,0.06868879,warmup_tracking,1.909,1.909,1.909,1.909,1967.2,false,0.0,0.037704,0.0,won,0.909,4,2026-09-01T14:17:11Z,true,false,
team_shots_v4|2026-08-29|serie-a|fiorentina|frosinone|frosinone|8.5|over,2026-08-27T19:44:06Z,2026-08-29T16:30:00Z,44.765,2026-08-29|serie-a|fiorentina|frosinone,2026-08-29,serie-a,ACF Fiorentina vs Frosinone Calcio,ACF Fiorentina,Frosinone Calcio,Frosinone Calcio,Bet365,Frosinone Calcio over 8.5,8.5,over,team_shots_v4,1.67396,0.597386,0.879182,0.511382,0.3678,0.031685,2,20,20,,0.04243698,warmup_tracking,1.727,1.727,1.727,1.727,2685.9,false,0.0,0.031686,0.0,won,0.727,12,2026-09-01T14:27:14Z,true,false,
team_shots_v4|2026-08-29|la-liga|sociedad|espanol|sociedad|15.5|under,2026-08-27T19:44:07Z,2026-08-29T17:00:00Z,45.265,2026-08-29|la-liga|sociedad|espanol,2026-08-29,la-liga,Real Sociedad San Sebastian vs Espanyol Barcelona,Real Sociedad San Sebastian,Espanyol Barcelona,Real Sociedad San Sebastian,Bet365,Real Sociedad San Sebastian under 15.5,15.5,under,team_shots_v4,1.742892,0.573759,0.69952,0.544123,0.155396,0.032766,2,20,20,,0.0346398,warmup_tracking,1.8,1.8,1.8,1.8,143.0,false,0.0,0.032766,0.0,lost,-1.0,17,2026-09-01T14:17:11Z,true,false,
team_shots_v4|2026-08-30|la-liga|real madrid|malaga|real madrid|20.5|under,2026-08-27T19:44:07Z,2026-08-30T15:00:00Z,67.265,2026-08-30|la-liga|real madrid|malaga,2026-08-30,la-liga,Real Madrid vs Malaga CF,Real Madrid,Malaga CF,Real Madrid,Bet365,Real Madrid under 20.5,20.5,under,team_shots_v4,1.585931,0.630544,0.896934,0.544123,0.352811,0.13498,2,20,20,,0.02509242,warmup_tracking,1.8,1.8,1.8,1.833,24.0,true,-0.018003,0.155787,0.033,won,0.8,19,2026-09-01T14:27:14Z,true,false,
team_shots_v4|2026-08-31|serie-a|lecce|roma|roma|15.5|under,2026-08-28T20:48:39Z,2026-08-31T16:30:00Z,67.689,2026-08-31|serie-a|lecce|roma,2026-08-31,serie-a,US Lecce vs AS Roma,US Lecce,AS Roma,AS Roma,Bet365,AS Roma under 15.5,15.5,under,team_shots_v4,1.66102,0.60204,0.74257,0.567657,0.174912,0.039723,2,20,20,,0.03937405,warmup_tracking,1.727,1.727,1.727,1.727,2993.017,false,0.0,0.039723,0.0,won,0.727,15,2026-09-01T14:27:14Z,true,false,
