date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-10,2026-04-10T18:30:00Z,FC Augsburg vs TSG Hoffenheim,Germany - Bundesliga,Michael Gregoritsch,Augsburg,TSG Hoffenheim,public_pick,-1.2867,0.9200,0,,0,starter,0.373408,2.6780,Bet365,3.0000,0.120224,high,2026-04-10T18:04:21Z,,171,Michael Gregoritsch,FC Augsburg,TSG Hoffenheim,FW,FW,2849.0,T1,surface,,0,0.0875,1.25,core,1.25u Core,,,,,1,1,won,2026-04-10T23:27:50Z,2.5000,scored_1_goals
2026-04-11,2026-04-11T13:30:00Z,Borussia Dortmund vs Bayer Leverkusen,Germany - Bundesliga,Ibrahim Maza,Bayer Leverkusen,Borussia Dortmund,public_pick,-0.6187,0.7364,0,,0,starter,0.205046,4.8769,Bet365,5.5000,0.127753,high,2026-04-11T12:37:35Z,,11484,Ibrahim Maza,Borussia Dortmund,Bayer Leverkusen,AMC,AMC,1335.0,T1,surface,,0,0.0000,0.50,extended,0.50u Extended,,,,,1,0,lost,2026-04-11T23:59:41Z,-0.5000,played_did_not_score
2026-04-12,2026-04-12T13:30:00Z,1. FC Cologne vs Werder Bremen,Germany - Bundesliga,Justin Njinmah,Werder Bremen,1. FC Cologne,public_pick,-0.2013,0.9839,0,,0,starter,0.308487,3.2416,Bet365,3.6000,0.110553,high,2026-04-12T12:57:39Z,,10585,Justin Njinmah,1. FC Cologne,Werder Bremen,FW,FW,3477.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-13T00:02:41Z,-1.0000,played_did_not_score
2026-04-17,2026-04-17T18:30:00Z,FC St. Pauli vs 1. FC Cologne,Germany - Bundesliga,Ragnar Ache,FC Cologne,FC St. Pauli,public_pick,0.2171,1.1077,0,,0,starter,0.380667,2.6270,Bet365,3.0000,0.142001,high,2026-04-17T19:04:38Z,,8869,Ragnar Ache,FC St. Pauli,1. FC Cologne,FW,FW,1608.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-18T00:04:03Z,-1.2500,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Bayer Leverkusen vs FC Augsburg,Germany - Bundesliga,Alexis Claude Maurice,Augsburg,Bayer Leverkusen,public_pick,0.0936,0.8431,0,,0,starter,0.323117,3.0949,Bet365,4.7500,0.534806,high,2026-04-18T13:41:30Z,,5752,Alexis Claude Maurice,Bayer Leverkusen,FC Augsburg,AMC,AMC,4048.0,T1,surface,,0,0.3416,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Bayer Leverkusen vs FC Augsburg,Germany - Bundesliga,Anton Kade,Augsburg,Bayer Leverkusen,public_pick,-0.7167,0.8431,0,,0,starter,0.189042,5.2898,Bet365,6.0000,0.134252,high,2026-04-18T13:41:30Z,,10288,Anton Kade,Bayer Leverkusen,FC Augsburg,AMC,AMC,1297.0,T1,surface,,0,0.0000,0.50,extended,0.50u Extended,,,,,1,0,lost,2026-04-19T00:01:45Z,-0.5000,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,TSG Hoffenheim vs Borussia Dortmund,Germany - Bundesliga,Maximilian Beier,Borussia Dortmund,TSG Hoffenheim,public_pick,-0.9054,0.9849,0,,0,starter,0.397341,2.5167,Bet365,3.1000,0.231757,high,2026-04-18T13:41:30Z,,8137,Maximilian Beier,TSG Hoffenheim,Borussia Dortmund,FW,FW,5693.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.2500,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Andrej Ilic,Union Berlin,VFL Wolfsburg,public_pick,-0.8843,1.3043,0,,0,starter,0.386658,2.5863,Bet365,2.8750,0.111642,high,2026-04-18T12:29:18Z,,12421,Andrej Ilic,Union Berlin,VFL Wolfsburg,AMC,AMC,2745.0,T1,surface,,0,0.0107,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.2500,played_did_not_score
2026-04-18,2026-04-18T13:30:00Z,Union Berlin vs VFL Wolfsburg,Germany - Bundesliga,Mohamed Amoura,Wolfsburg,Union Berlin,public_pick,-2.1034,1.1693,0,,0,starter,0.331971,3.0123,Bet365,3.6000,0.195096,high,2026-04-18T12:29:18Z,,13062,Mohamed Amoura,Union Berlin,VFL Wolfsburg,AMC,AMC,4224.0,T1,surface,,0,0.0164,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-24,2026-04-24T18:30:00Z,RB Leipzig vs Union Berlin,Germany - Bundesliga,Andrej Ilic,Union Berlin,RB Leipzig,public_pick,-0.8843,0.9046,0,,0,starter,0.301961,3.3117,Bet365,3.7500,0.132354,high,2026-04-24T17:39:05Z,,12421,Andrej Ilic,RB Leipzig,Union Berlin,AMC,AMC,2745.0,T1,surface,,0,0.0146,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-25T00:05:59Z,-1.0000,played_did_not_score
