date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-11,2026-04-11T14:00:00Z,Brentford FC vs Everton FC,England - Premier League,Beto,Everton,Brentford FC,public_pick,0.8271,1.0279,0,,0,starter,0.331592,3.0158,Bet365,3.7500,0.243470,high,2026-04-11T13:41:17Z,,9983,Beto,Brentford FC,Everton FC,FW,FW,3602.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,1,won,2026-04-11T23:59:41Z,2.7500,scored_1_goals
2026-04-11,2026-04-11T14:00:00Z,Brentford FC vs Everton FC,England - Premier League,Kevin Schade,Brentford,Everton FC,public_pick,-1.4632,0.8871,0,,0,starter,0.337613,2.9620,Bet365,3.7500,0.266049,high,2026-04-11T13:41:17Z,,9156,Kevin Schade,Brentford FC,Everton FC,FW,FW,4871.0,T1,surface,,0,0.0061,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T14:00:00Z,Burnley FC vs Brighton & Hove Albion,England - Premier League,Zian Flemming,Burnley,Brighton & Hove Albion,public_pick,-0.7262,0.8598,0,,0,starter,0.346426,2.8866,Bet365,3.5000,0.212491,high,2026-04-11T13:41:17Z,,13729,Zian Flemming,Burnley FC,Brighton & Hove Albion,FW,FW,1195.0,T1,surface,,0,0.1071,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.2500,played_did_not_score
2026-04-12,2026-04-12T15:30:00Z,Chelsea FC vs Manchester City,England - Premier League,Joao Pedro,Chelsea,Manchester City,public_pick,-0.6797,0.7779,0,,0,starter,0.442984,2.2574,Bet365,2.8750,0.273579,high,2026-04-12T14:19:12Z,,8272,Joao Pedro,Chelsea FC,Manchester City,FW,FW,6346.0,T1,surface,,0,0.0107,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-13T00:02:41Z,-1.2500,played_did_not_score
2026-04-12,2026-04-12T13:00:00Z,Crystal Palace vs Newcastle United,England - Premier League,Anthony Gordon,Newcastle United,Crystal Palace,public_pick,0.1002,1.0995,0,,0,starter,0.383972,2.6044,Bet365,3.2500,0.247909,high,2026-04-12T12:56:55Z,,8150,Anthony Gordon,Crystal Palace,Newcastle United,FW,FW,7244.0,T1,surface,,0,0.2329,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-13T00:02:41Z,-1.2500,played_did_not_score
2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest vs Aston Villa,England - Premier League,Ollie Watkins,Aston Villa,Nottingham Forest,public_pick,-0.6260,1.1904,0,,0,starter,0.370510,2.6990,Bet365,3.0000,0.111530,high,2026-04-12T12:56:55Z,,8865,Ollie Watkins,Nottingham Forest,Aston Villa,FW,FW,8271.0,T1,surface,,0,0.0415,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-13T00:02:41Z,-1.2500,played_did_not_score
2026-04-13,2026-04-13T19:00:00Z,Manchester United vs Leeds United,England - Premier League,Dominic Calvert-Lewin,Leeds,Manchester United,public_pick,-2.3906,0.6921,0,,0,starter,0.337282,2.9649,Bet365,3.2500,0.096167,high,2026-04-13T18:51:20Z,,5555,Dominic Calvert-Lewin,Manchester United,Leeds United,FW,FW,5980.0,T1,surface,,0,0.3085,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-14T00:08:04Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T14:00:00Z,Leeds United vs Wolverhampton Wanderers,England - Premier League,Adam Armstrong,Wolverhampton Wanderers,Leeds United,public_pick,0.1107,1.0045,0,,0,starter,0.263358,3.7971,Bet365,4.3330,0.141130,high,2026-04-18T13:40:45Z,,4419,Adam Armstrong,Leeds United,Wolverhampton Wanderers,FW,FW,1932.0,T1,surface,,0,0.0222,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T14:00:00Z,Newcastle United vs AFC Bournemouth,England - Premier League,Marcus Tavernier,Bournemouth,Newcastle United,public_pick,-2.4418,1.1135,0,,0,starter,0.325371,3.0734,Bet365,4.5000,0.464170,high,2026-04-18T13:40:45Z,,10741,Marcus Tavernier,Newcastle United,AFC Bournemouth,AMC,AMC,6247.0,T1,surface,,0,0.1445,1.00,standard,1.00u Standard,,,,,1,1,won,2026-04-19T00:01:45Z,3.5000,scored_1_goals
2026-04-19,2026-04-19T13:00:00Z,Aston Villa vs Sunderland AFC,England - Premier League,Brian Brobbey,Sunderland,Aston Villa,public_pick,0.4922,0.9697,0,,0,starter,0.309426,3.2318,Bet365,3.7500,0.160347,high,2026-04-19T12:27:37Z,,9789,Brian Brobbey,Aston Villa,Sunderland AFC,FW,FW,1367.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T19:56:52Z,-1.0000,played_did_not_score
