date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-10,2026-04-10T18:45:00Z,AS Roma vs Pisa SC,Italy - Serie A,Antonio Caracciolo,Pisa,AS Roma,shadow_track,0.2044,1.0093,0,,0,starter,0.072954,13.7074,Bet365,15.0000,0.094310,high,2026-04-10T18:02:51Z,6133,Antonio Caracciolo,AS Roma,Pisa SC,DC,DC,2537.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,1,0,lost,2026-04-10T23:27:49Z,-1.0000,played_did_not_score
2026-04-10,2026-04-10T18:45:00Z,AS Roma vs Pisa SC,Italy - Serie A,Stefano Moreo,Pisa,AS Roma,shadow_track,-0.5747,1.0093,0,,0,starter,0.230744,4.3338,Bet365,5.0000,0.153720,high,2026-04-10T18:02:51Z,13939,Stefano Moreo,AS Roma,Pisa SC,FW,FW,1792.0,T1,surface,,0,0.2573,1.00,standard,1.00u Standard,1,0,lost,2026-04-10T23:27:49Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T16:00:00Z,AC Milan vs Udinese Calcio,Italy - Serie A,Keinan Davis,Udinese,AC Milan,shadow_track,1.0448,0.9051,0,,0,starter,0.247522,4.0401,Bet365,4.7500,0.175729,high,2026-04-11T15:30:16Z,1053,Keinan Davis,AC Milan,Udinese Calcio,FW,FW,3061.0,T1,surface,,0,0.3843,1.00,standard,1.00u Standard,1,0,lost,2026-04-11T23:59:40Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T16:00:00Z,AC Milan vs Udinese Calcio,Italy - Serie A,Oumar Solet,Udinese,AC Milan,shadow_track,0.3477,0.9580,0,,0,expected_starter,0.077336,12.9306,Bet365,15.0000,0.160040,medium,2026-04-11T12:35:33Z,6618,Oumar Solet,AC Milan,Udinese Calcio,DC,DC,4008.0,T2,no_action,,1,0.6292,0.00,,,1,0,lost,2026-04-11T23:59:40Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T18:45:00Z,Atalanta BC vs Juventus Turin,Italy - Serie A,Ederson Silva,Atalanta,Juventus Turin,shadow_track,-2.2071,0.8105,0,,0,expected_starter,0.164650,6.0735,Bet365,8.0000,0.317200,medium,2026-04-10T14:56:47Z,10404,Ederson Silva,Atalanta BC,Juventus Turin,MC,MC,7586.0,T2,no_action,,0,0.2101,0.00,,,1,0,lost,2026-04-11T23:59:40Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T18:45:00Z,Atalanta BC vs Juventus Turin,Italy - Serie A,Giorgio Scalvini,Atalanta,Juventus Turin,shadow_track,-0.4947,0.8105,0,,0,expected_starter,0.092898,10.7645,Bet365,13.0000,0.207674,medium,2026-04-10T14:56:47Z,9107,Giorgio Scalvini,Atalanta BC,Juventus Turin,DC,DC,4179.0,T2,no_action,,0,0.0000,0.00,,,1,0,lost,2026-04-11T23:59:40Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T18:45:00Z,Atalanta BC vs Juventus Turin,Italy - Serie A,Nikola Krstovic,Atalanta,Juventus Turin,shadow_track,-2.3191,0.8105,0,,0,starter,0.424950,2.3532,Bet365,2.6000,0.104870,high,2026-04-11T18:45:16Z,12008,Nikola Krstovic,Atalanta BC,Juventus Turin,FW,FW,6814.0,T1,surface,,0,0.0036,1.25,core,1.25u Core,1,0,lost,2026-04-11T23:59:40Z,-1.2500,played_did_not_score
2026-04-11,2026-04-11T13:00:00Z,Cagliari Calcio vs US Cremonese,Italy - Serie A,Federico Bonazzoli,Cremonese,Cagliari Calcio,penalty_transfer,-0.9499,0.9922,1,Jamie Vardy,0,starter,0.308410,3.2424,Bet365,4.0000,0.233640,high,2026-04-11T12:35:33Z,2019,Federico Bonazzoli,Cagliari Calcio,US Cremonese,FW,FW,2966.0,T1,surface,,0,0.1684,1.00,standard,1.00u Standard,1,0,lost,2026-04-11T23:59:40Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T13:00:00Z,Cagliari Calcio vs US Cremonese,Italy - Serie A,Michael Folorunsho,Cagliari,US Cremonese,shadow_track,0.9220,1.1831,0,,0,starter,0.210165,4.7582,Bet365,5.0000,0.050825,high,2026-04-11T12:35:33Z,11877,Michael Folorunsho,Cagliari Calcio,US Cremonese,FW,FW,4512.0,T1,no_action,,0,0.0000,0.00,,,1,0,lost,2026-04-11T23:59:40Z,-1.0000,played_did_not_score
2026-04-12,2026-04-12T10:30:00Z,Genoa CFC vs Sassuolo Calcio,Italy - Serie A,Aaron Martin,Genoa,Sassuolo Calcio,shadow_track,-0.1279,1.2592,0,,0,expected_starter,0.085587,11.6840,Bet365,13.0000,0.112631,medium,2026-04-10T14:56:47Z,5133,Aaron Martin,Genoa CFC,Sassuolo Calcio,DL,DL,6399.0,T2,no_action,,1,0.5387,0.00,,,1,0,lost,2026-04-13T00:02:41Z,-1.0000,played_did_not_score
2026-04-12,2026-04-12T13:00:00Z,Parma Calcio vs SSC Napoli,Italy - Serie A,Gabriel Strefezza,Parma Calcio 1913,SSC Napoli,penalty_transfer,-0.4332,0.5818,1,Mateo Pellegrino,0,expected_starter,0.146550,6.8236,Bet365,8.0000,0.172400,medium,2026-04-12T08:38:00Z,7944,Gabriel Strefezza,Parma Calcio,SSC Napoli,FW,FW,4398.0,T2,no_action,,0,0.1293,0.00,,,1,1,won,2026-04-13T00:02:41Z,7.0000,scored_1_goals
2026-04-13,2026-04-13T18:45:00Z,ACF Fiorentina vs Lazio Rome,Italy - Serie A,Daniele Rugani,ACF Fiorentina,Lazio Rome,shadow_track,0.2875,0.6846,0,,0,starter,0.148711,6.7245,Bet365,12.0000,0.784532,medium,2026-04-13T19:14:32Z,1301,Daniele Rugani,ACF Fiorentina,Lazio Rome,D S,D S,1195.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,1,0,lost,2026-04-14T00:08:04Z,-1.0000,played_did_not_score
2026-04-17,2026-04-17T16:30:00Z,Sassuolo Calcio vs Como 1907,Italy - Serie A,Tarik Muharemovic,Sassuolo,Como 1907,shadow_track,-0.5832,0.7566,0,,0,expected_starter,0.094622,10.5683,Bet365,15.0000,0.419330,medium,2026-04-14T19:16:20Z,13879,Tarik Muharemovic,Sassuolo Calcio,Como 1907,DC,DC,2297.0,T2,no_action,,0,0.0000,0.00,,,,,,,,
