tour,year,date,tournament,round,surface,player_id,player,opponent_id,opponent,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence,expected_service_points,candidate_expected_service_points,candidate_projected_aces,candidate_projected_dfs,player_service_point_win,opponent_service_point_win,same_tournament_matches,ace_rate_pre_opponent,opponent_return_ratio,opponent_return_factor,notes,actual_service_points
ATP,2022,2022-01-17,Australian Open,R128,Hard,200175,Miomir Kecmanovic,106099,Salvatore Caruso,4,10.756,10.113,2,3.733,3.034,LOW,LOW,122.366,135.301,11.893,4.128,0.620090,0.623490,0,0.08790107,1.00000000,1.00000000,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,72
ATP,2022,2022-01-17,Australian Open,R128,Hard,106099,Salvatore Caruso,200175,Miomir Kecmanovic,3,11.414,11.095,5,3.983,3.983,LOW,LOW,122.237,134.992,12.605,4.399,0.623490,0.620090,0,0.09076300,1.04843429,1.02878525,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,83
ATP,2022,2022-01-17,Australian Open,R128,Hard,126205,Tommy Paul,105062,Mikhail Kukushkin,9,9.379,8.747,5,2.742,1.913,LOW,LOW,116.719,135.083,10.855,3.173,0.628402,0.626706,0,0.08035671,1.00000000,1.00000000,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,84
ATP,2022,2022-01-17,Australian Open,R128,Hard,105062,Mikhail Kukushkin,126205,Tommy Paul,3,11.779,11.095,2,3.983,3.983,LOW,LOW,122.237,135.243,13.032,4.407,0.626706,0.628402,0,0.09076300,1.10491950,1.06169160,LOW_SAMPLE;TOURNAMENT_DEBUT,79
ATP,2022,2022-01-17,Australian Open,R128,Hard,106214,Oscar Otte,202358,Chun Hsin Tseng,9,11.095,11.095,5,3.983,3.983,LOW,LOW,122.237,135.184,12.270,4.405,0.620893,0.620893,0,0.09076300,1.00000000,1.00000000,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,84
ATP,2022,2022-01-17,Australian Open,R128,Hard,202358,Chun Hsin Tseng,106214,Oscar Otte,0,11.095,11.095,4,3.983,3.983,LOW,LOW,122.237,135.184,12.270,4.405,0.620893,0.620893,0,0.09076300,1.00000000,1.00000000,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,88
ATP,2022,2022-01-17,Australian Open,R128,Hard,132283,Lorenzo Sonego,105023,Sam Querrey,10,9.939,8.808,3,3.415,2.591,LOW,LOW,122.799,134.738,10.906,3.747,0.622965,0.616124,0,0.08094026,1.00000000,1.00000000,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,107
ATP,2022,2022-01-17,Australian Open,R128,Hard,105023,Sam Querrey,132283,Lorenzo Sonego,2,10.476,11.095,2,3.983,3.983,LOW,LOW,122.237,135.348,11.599,4.410,0.616124,0.622965,0,0.09076300,0.90873280,0.94419506,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,108
ATP,2022,2022-01-17,Australian Open,R128,Hard,104792,Gael Monfils,105948,Federico Coria,11,12.470,13.994,2,3.999,4.241,LOW,LOW,116.619,131.567,14.069,4.512,0.636899,0.608742,0,0.10693318,1.00000000,1.00000000,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,73
ATP,2022,2022-01-17,Australian Open,R128,Hard,105948,Federico Coria,104792,Gael Monfils,2,10.474,11.095,3,3.983,3.983,LOW,LOW,122.237,134.103,11.491,4.370,0.608742,0.636899,0,0.09076300,0.90854461,0.94407773,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,70
ATP,2022,2022-01-17,Australian Open,R128,Hard,122330,Alexander Bublik,124014,Ernesto Escobedo,30,14.205,22.992,11,5.858,14.149,LOW,LOW,125.569,135.098,15.282,6.302,0.614301,0.631108,0,0.11312098,1.00000000,1.00000000,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,130
ATP,2022,2022-01-17,Australian Open,R128,Hard,124014,Ernesto Escobedo,122330,Alexander Bublik,3,11.472,11.095,5,3.983,3.983,LOW,LOW,122.237,133.569,12.535,4.352,0.631108,0.614301,0,0.09076300,1.05732870,1.03401303,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,130
ATP,2022,2022-01-17,Australian Open,R128,Hard,124079,Pedro Martinez,105643,Federico Delbonis,7,9.308,6.493,5,4.230,5.411,LOW,LOW,117.952,135.238,10.672,4.850,0.615247,0.616322,0,0.07900910,0.99795693,0.99877366,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT,142
